Company Name,Website URL,Current Known Address (City),Industry / Sector,Approx. Employee Count,Signal of Potential Office Space Need,Estimated Urgency / Score,Contact Information
Able Human Motion,https://www.ablehumanmotion.com,Barcelona (UPC spin-off),MedTech / Exoskeletons,~20-30,"UPC spin-off (2018). Developing lightweight robotic exoskeletons. First Spanish exoskeleton for clinical use. Hiring Firmware Engineers. 7 prototypes, 200+ patients tested.",Medium,"LinkedIn: able-human-motion, hello@ablehumanmotion.com, 93 189 25 94"
Ocean Ecostructures,https://www.oceanecostructures.com,Barcelona,Climate Tech / Marine Restoration,~20 (grew from 4),Grew from 4 to 20 employees. 200+ reef units deployed (600 more in fabrication). Selected by Nasdaq as top 12 emerging company. Regenerating largest artificial island in North Sea.,Medium,LinkedIn: ocean-ecostructures
Delfos Energy,https://www.delfos.energy,Barcelona,AI / Renewable Energy,~50-100,"AI-powered performance platform for renewable energy portfolios. Founded 2017. Monitoring 10,000+ renewable assets globally. Backed by leading VCs. Actively hiring engineers and data scientists.",Medium,"LinkedIn: delfos-energy, info@delfos.energy"
Neuroelectrics,https://www.neuroelectrics.com,Barcelona,MedTech / Brain Stimulation,~50-100,Barcelona-based neurotechnology company. StarStim tDCS brain stimulator. Enobio EEG systems. 100+ research institutions as clients. Founded by Ana Maiques (Norrsken Barcelona board member).,Medium,"LinkedIn: neuroelectrics, info@neuroelectrics.com"
IOMED,https://www.iomed.health,Barcelona,AI / Healthcare Data,~50-100,AI-powered healthcare data management platform. Founded 2016. NLP technology unlocking clinical data for research. Working with 50+ hospitals. Raised multiple funding rounds.,Medium,"LinkedIn: iomed, info@iomed.health"
Bo de Debò,https://www.bodedebo.com,Sant Vicenç de Castellet (near Terrassa),Prepared Meals / Food Manufacturing,~100,"Started in Terrassa (1942), now in Sant Vicenç de Castellet. ~100 employees, 20% annual growth. 3,500 m² facility already getting small. Strong expansion trajectory.",Medium,"LinkedIn: bo-de-debo, info@bodedebo.com"
B-Grup (Begudes del Vallès),https://www.bgrup.es,Terrassa,Food & Beverage Distribution,Large (since 1968),"Horeca food & beverage distribution since 1968. Terrassa-based, serving most of Spain. Official distributor for San Miguel, Pepsi, Schweppes, Font Vella, Vichy Catalán. Continuous national expansion.",Medium,"LinkedIn: b-grup, info@bgrup.es"
BCome,https://bcome.com,Barcelona,Fashion Tech / Sustainability SaaS,~30-50 (growing),Barcelona-based SaaS platform offering supply chain transparency and sustainability metrics for fashion brands. World Future Awards 2025 winner. Growing client base.,Medium,LinkedIn: bcome
iFeel,https://www.ifeel.com,Barcelona,Mental Health / Corporate Wellness,~50-100 (growing),Online psychology portal for corporations. 90% of customers report increased emotional well-being. B2B mental health platform. Scaling across Europe.,Medium,LinkedIn: ifeel
Aimentia,https://www.aimentia.com,Barcelona,Mental Health / AI Diagnostics,~20-40 (growing),"AI-powered mental health diagnostics platform. Aimentia Virtual Deck, Data Hub. Increasing efficiency of mental health professionals. Digital-first approach.",Medium,LinkedIn: aimentia
Koa Health,https://www.koahealth.com,Barcelona,Mental Health / Digital Therapeutics,~50-100,"Digital mental health solutions provider. Koa Foundations app for employee well-being. Backed by major health VCs. Barcelona-origin, now global.",Medium,LinkedIn: koa-health
Xceed,https://xceed.me,Barcelona,Event Tech / Nightlife Platform,~30-50,B2B city nightlife promotions and bookings platform. Founded 2013. Connecting venues with party-goers across European cities. Barcelona HQ.,Medium,LinkedIn: xceed
Gameloft Barcelona,https://www.gameloft.com,Barcelona,Gaming / Mobile,Expanding,"5+ open positions: Senior UI/UX Designer, Market Analyst, Product Marketing Manager, Lighting Artist, Technical Producer. Continuous hiring for new titles.",Medium,LinkedIn: gameloft
Wenalyze,https://wenalyze.com,Barcelona (Wayra/Iope Ventures portfolio),InsurTech / Open Data Analytics,~20-40 (growing),Wayra/Iope Ventures backed. Open data analytics improving payment data categorization for banking and insurance policy renewal for SMEs. AI-powered risk assessment.,Medium,LinkedIn: wenalyze
Ciudadela,https://ciudadela.es,Barcelona (Wayra portfolio),PropTech / Homeowners Association Management,~30-50 (growing),Wayra-backed. Proptech digitizing property management for homeowners' associations through AI. Transforming how communities manage shared spaces and finances.,Medium,LinkedIn: ciudadela
Cafler,https://cafler.com,Barcelona (Wayra portfolio),Mobility Tech / Vehicle Management,~20-40 (growing),"Wayra-backed. One-click platform for vehicle management: maintenance, insurance, repairs. B2C and B2B. Growing across Spain.",Medium,LinkedIn: cafler
Bankuish,https://bankuish.com,Barcelona (Wayra portfolio),Fintech / Credit Scoring AI,~20-30 (growing),Wayra-backed. AI-based credit rating tools assigning users data-driven credit scores. Simplified access to pre-approved loans and financial services. Featured at 4YFN 2025.,Medium,LinkedIn: bankuish
Aiphoria,https://aiphoria.io,Barcelona (Wayra / 4YFN 2025),AI / Voice Processing,~10-20 (growing),"Wayra portfolio, presented at 4YFN 2025. API platform for voice processing: fast transcription, AI-powered conversation insights. B2B SaaS for call centers and voice apps.",Medium,LinkedIn: aiphoria
Assistència Sanitària,https://www.assistenciasanitaria.coop,"Terrassa (NEW office, Oct 2025)",Health Insurance / Healthcare,Expanding,Opened NEW office in Terrassa (Oct 2025). Already has offices in Sabadell and Sant Cugat. Part of Fundación Espriu. Strategy of natural expansion in Vallès Occidental.,Medium,LinkedIn: assistencia-sanitaria
Bioliquid,https://bioliquid.es,Barcelona (Parc Científic de Barcelona),Biotech / Liquid Biopsy,~20-40 (growing),Liquid biopsy diagnostics company at PCB. Developing non-invasive cancer detection tests. PCB at 100% capacity since 2023 — urgent interim space need.,Medium,LinkedIn: bioliquid
Everai Medical Technologies,https://everai-medical.com,Barcelona (Parc Científic de Barcelona),MedTech / AI Diagnostics,~20-40 (growing),AI-powered medical diagnostics company at PCB. Located at PCB which is at 100% capacity since 2023. New CUB building not until 2028. Interim space needed for R&D expansion.,Medium,LinkedIn: everai-medical
Moirai Biodesign,https://moiraibiodesign.com,Barcelona (Parc Científic de Barcelona),Biotech / Synthetic Biology,~20-30 (growing),Synthetic biology company at PCB. Developing bioengineered solutions for healthcare and industry. PCB at 100% capacity since 2023 — urgent interim space need.,Medium,LinkedIn: moirai-biodesign
Coovally ( China AI),https://coovally.com,"Barcelona (Avinguda Diagonal, near Glòries)",AI / Computer Vision Platform,15 (targeting 45 in 3-4 years),Chinese AI company (Nanjing/Hangzhou) opened GLOBAL HQ in Barcelona (Oct 2024). On Diagonal Avenue near Glòries. Plans to TRIPLE staff from 15 to 45 in 3-4 years. €6M investment planned. ACCIÓ-Catalonia Trade & Investment supported.,High,"LinkedIn: coovally, info@coovally.com"
Huawei Technologies,https://www.huawei.com,Barcelona (22@ area),Telecom / 5G / AI / Digital Power,"1,000+ in Spain (Barcelona is key hub)","One of the largest Chinese presences in Barcelona. Rotating chairwoman Meng Wanzhou keynotes MWC Barcelona annually. Plans to hire 10,000+ graduates globally in 2025 (AI, 5G, cloud). IT Solution Sales Manager position open in Barcelona (hybrid). Strong expansion in digital power and cloud.",High,"LinkedIn: huawei, info@huawei.com"
BYD (Build Your Dreams),https://www.byd.com,Barcelona (showroom + expanding),EV / Automotive / Energy,Expanding rapidly in Spain,"World's largest EV maker. 3 flagship showrooms in Spain (Madrid, Barcelona, Valencia). Plans 2,000 European dealerships by 2026. Targeting FULL local production in Europe by 2028. Spain is main entry point. Need for expanded sales, service, and corporate office space.",High,"LinkedIn: byd-company, info@byd.com"
Xiaomi,https://www.mi.com,Barcelona (MWC hub + planning expansion),Consumer Electronics / EV,Expanding in Europe,Strong MWC Barcelona presence every year. SU7 EV displayed at MWC 2024. Planning 2027 Europe entry with German engineering center. Strategic goal: top-5 global automaker. Barcelona serves as Southern Europe hub for smartphones and upcoming EV expansion. Need for expanded office and retail space.,High,"LinkedIn: xiaomi, info@xiaomi.com"
ZTE Corporation,https://www.zte.com.cn,Barcelona (MWC hub),Telecom / 5G / AI,Large global (Barcelona presence expanding),"Major MWC Barcelona exhibitor every year. Presenting 5G-A, all-optical, AI, and green energy solutions. Deep integration of AI and connectivity. Barcelona serves as Southern European showcase and sales hub. Growing partner ecosystem.",Medium-High,"LinkedIn: zte-corporation, info@zte.com.cn"
Lenovo (China/HK),https://www.lenovo.com,Barcelona (Carrer Amigó 11),IT Hardware / Enterprise Solutions,60 (targeting 80),"Opened Barcelona sales centre in 2016 (1,000 m², two 500 m² floors). Largest of 4 European mid-market centres. Serves 13,000+ medium-sized companies in Southern Europe, Benelux. Plans to grow from 60 to 80 employees. 5% annual market share growth target. ACCIÓ supported.",Medium-High,"LinkedIn: lenovo, info@lenovo.com"
ByteDance / TikTok,https://www.bytedance.com,Barcelona (listed as global office city),Social Media / AI / E-commerce,"150,000+ global (Barcelona team growing)","150,000+ employees across 120 cities globally — Barcelona is explicitly listed. TikTok is dominant short-video platform. BytePlus enterprise division expanding rapidly. Global hiring spree targeting 40,000+ roles. Barcelona office supports Southern European operations. Need for expanded creative and tech talent space.",Medium-High,"LinkedIn: bytedance, info@bytedance.com"
Asia Digital Mojo,https://asiadigitalmojo.com,Barcelona (European HQ),Digital Marketing / China-Europe Bridge,8+ in Barcelona (40 global),"Chinese digital marketing agency opened European HQ in Barcelona (Dec 2020). Bridges Asian and European brands. Clients: Huawei, Line, Shangri-La Hotels. Offices in Hong Kong, Shanghai, Seoul, Mumbai, Mexico DF. 50% turnover increase. First agency of its kind in Catalan capital.",Medium,"LinkedIn: asia-digital-mojo, info@asiadigitalmojo.com"
SAIC Motor / MG Motor,https://www.mg-motor.com,Spain / Barcelona market,Automotive / EV,Expanding in Europe,"128% YoY growth in EU. One of the most successful Chinese car brands in Europe. Present in Spain with growing dealer network. Barcelona is key market. Need for expanded sales, marketing, and service infrastructure.",Medium,"LinkedIn: mg-motor, info@mg-motor.com"
NIO,https://nio.com,Europe / Spain entry planned,Premium EV / Battery Swapping,Expanding to Europe,"Premium Chinese EV maker with battery swapping technology. Planning European expansion. Spain is a target market. Need for showroom, service centre, and corporate office space in Barcelona as Southern Europe entry point.",Medium,"LinkedIn: nio, info@nio.com"
Alibaba Cloud,https://www.alibabacloud.com,Barcelona (MWC presence),Cloud Computing / AI,Expanding European presence,"Major MWC Barcelona exhibitor. Europe is key growth market. Competing with AWS, Azure, GCP. Barcelona serves as Southern European cloud hub. Growing partner and customer ecosystem. Need for expanded sales and technical support office.",Medium,"LinkedIn: alibaba-cloud, info@alibabacloud.com"
Lynk & Co (Geely),https://www.lynkco.com,Spain / Barcelona market,Automotive / EV / Mobility,Expanding in Europe,Geely-owned car brand present in Spain. Subscription-based mobility model. Part of Chinese EV wave entering Europe. Barcelona is a key urban market. Need for retail and corporate space.,Medium,LinkedIn: lynk-&-co
Lierda Technology,https://www.lierda.com,Barcelona (MWC exhibitor),IoT / 5G RedCap Modules,Growing European presence,Hangzhou-based IoT company. Showcased at MWC Barcelona 2025 (5G RedCap modules). Leading hub for tech innovation in Zhejiang Province. Expanding internationally with cutting-edge wireless solutions. Barcelona as European launch pad.,Medium,LinkedIn: lierda-technology
XPeng Motors,https://www.xpeng.com,Europe / Barcelona potential,Smart EV / Autonomous Driving,Expanding to Europe,"Chinese smart EV maker with advanced autonomous driving. Entering European market. Competing with Tesla, VW, BYD. Barcelona as potential Southern Europe hub. Need for showroom and corporate office.",Medium,LinkedIn: xpeng
Great Wall Motor (ORA),https://www.gwm-global.com,Spain / Barcelona market,Automotive / EV,Expanding in Europe,Chinese automaker entering European markets with ORA EV brand. Spain is key market. Growing dealer network. Need for expanded sales and marketing office in Barcelona.,Medium,LinkedIn: great-wall-motor
Technogym,https://www.technogym.com,Sant Quirze del Vallès (Barcelona province),Fitness Equipment / Connected Wellness,"2,000+ global (Vallès Occidental presence)","€25M loan secured (March 2024) for sports and wellness expansion — acquiring new low-environmental-impact production facilities. Zentrum became official Barcelona showroom partner (March 2026). Global HQ is Technogym Village (Cesena, Italy). Office already in Sant Quirze del Vallès — prime target for expansion within same comarca.",High,"LinkedIn: technogym, info@technogym.com, 934 51 67 77"
BioTechUSA Group,https://biotechusa.com,Hungary (HQ) — NEW Barcelona/Spain market entry,Sports Nutrition / Supplements,"1,800 global (expanding to Spain)","Became FC Barcelona's Global Partner in Sports Supplements (Sep 2024). Multi-year agreement. One of Europe's largest manufacturers — present in 100+ countries, 49 webshops, 322 franchise stores, 4,500 B2B partners. Works with 250+ professional athletes. This Barça partnership signals major Spain expansion requiring local office/distribution hub.",High,"LinkedIn: biotechusa-group, info@biotechusa.com"
Weider Global Nutrition (Spain),https://weider.es,"Alcorcón, Madrid (Spain office)",Sports Nutrition / Fitness Supplements,Expanding in Spain,Weider Spain joined ESSNA (European Sports Nutrition Alliance) in Sep 2024 — signaling reinvigorated European expansion. Pioneer brand present on 5 continents. Well-known in bodybuilding/fitness. Offices in Germany and Spain. Regulatory challenges in EU require stronger local presence — Barcelona is logical Southern European hub.,High,"LinkedIn: weider, +34 91 875 70 66"
Prozis,https://www.prozis.com,Portugal (HQ) — Barcelona/Spain expansion likely,Sports Nutrition / Supplements / Health Foods,"Hundreds, going to thousands","European sports nutrition powerhouse. Full vertical integration: idea, design, manufacturing, marketing, sales, logistics. Proprietary 4.0 technology. Hundreds of employees scaling to thousands. Active hiring across multiple platforms (Breezy HR, Glassdoor). No-compromise growth mindset. Barcelona is natural Southern European hub for Iberian expansion.",High,"LinkedIn: prozis, careers@prozis.com"
Myprotein (The Hut Group),https://www.myprotein.com,"Manchester, UK (HQ) — Barcelona event presence",Sports Nutrition / Protein Products,Major European team,#1 sports nutrition brand in Spain with double-digit market share. Hosted 'Move Club: Lift Barcelona' event (Feb 2026). Market leader in flavour innovation. Strong online penetration. Spain is a key growth market (€250M sports nutrition market growing 7.13% CAGR). Barcelona as Southern European commercial hub makes strategic sense.,Medium-High,"LinkedIn: myprotein, recruitment@thehutgroup.com"
Life Fitness,https://www.lifefitness.com,Europe / Spain market (Barcelona potential),Commercial Fitness Equipment,Major global (expanding Europe),"Top 5 global fitness equipment manufacturer. Key player in connected gym equipment market ($14.4B market growing 5.1% CAGR). Commercial cardio, strength, and digital solutions. Europe is key growth market. Barcelona as Southern European sales and service hub.",Medium-High,"LinkedIn: life-fitness, info@lifefitness.com"
Precor,https://www.precor.com,Europe / Spain market (Barcelona potential),Commercial Fitness Equipment,Expanding in Europe,Major commercial fitness equipment brand. Part of Peloton ecosystem. Connected cardio and strength equipment. European fitness equipment market growing at 19.2% CAGR (connected segment). Barcelona as hub for Southern European gyms and fitness centers.,Medium-High,"LinkedIn: precor, info@precor.com"
NordicTrack / iFIT (ICON Health & Fitness),https://www.nordictrack.com,Europe / Spain market,Connected Home Fitness Equipment,Expanding internationally,"Leading connected home fitness brand. Treadmills, bikes, rowers with iFIT interactive training. Home fitness equipment market growing 6.32% CAGR. European expansion accelerating. Barcelona as Southern European customer support and marketing hub.",Medium,"LinkedIn: icon-health-fitness, info@ifit.com"
Optimum Nutrition (Glanbia),https://www.optimumnutrition.com,Global / Spain market (Barcelona potential),Sports Nutrition / Protein Supplements,Major global presence,One of the most recognized sports nutrition brands globally. Leading player in Spain's €250M sports nutrition market (7.13% CAGR). Strong gym channel presence. Part of Glanbia Performance Nutrition. Barcelona as Southern European commercial and distribution office.,Medium,"LinkedIn: optimum-nutrition, info@optimumnutrition.com"
Scitec Nutrition,https://www.scitecnutrition.com,Europe / Spain market,Sports Nutrition / Bodybuilding Supplements,Expanding in Europe,Major European sports nutrition brand. Strong in bodybuilding and fitness communities. Competing in Spain's fast-growing market. Barcelona as entry point for Southern European expansion.,Medium,"LinkedIn: scitec-nutrition, info@scitecnutrition.com"
Gymshark,https://www.gymshark.com,"Solihull, UK (HQ) — Spain/Barcelona potential",Fitness Apparel / Athleisure,900+ global (growing),UK-based fitness apparel unicorn. €500M+ revenue. One of the fastest-growing fitness brands globally. Strong social media presence (6M+ Instagram followers). Spain is a major European fitness market. Barcelona as Southern European e-commerce and marketing hub.,Medium,"LinkedIn: gymshark, info@gymshark.com"
Rogue Fitness,https://www.roguefitness.com,"Columbus, Ohio (HQ) — Europe/Spain expansion",Strength & Conditioning Equipment,"1,400+ (growing internationally)","#1 strength equipment brand globally. Official supplier of CrossFit Games, Arnold Classic, USA Weightlifting. $500M+ revenue. European expansion accelerating. Barcelona as Southern European distribution and sales hub for gym and home fitness markets.",Medium,"LinkedIn: rogue-fitness, info@roguefitness.com"
Peloton,https://www.onepeloton.com,Global / Spain-Barcelona market entry potential,Connected Home Fitness / Equipment + Content,Global (expanding Europe),"Connected fitness pioneer. Bikes, treadmills, rowers with live/subscription content. $2.7B revenue. European market is key growth area. Spain's growing fitness culture and connected equipment trend (19.2% CAGR in Europe) make Barcelona an attractive hub.",Medium,"LinkedIn: peloton, press@onepeloton.com"
Barebells,https://barebells.com,Sweden (HQ) — Spain market entry,Sports Nutrition / Protein Bars & Snacks,Growing rapidly in Europe,Swedish protein bar/snack brand rapidly expanding across Europe. High-protein bars and shakes gaining traction in Spain. Part of the international entrants driving market fragmentation. Barcelona as Southern European distribution hub.,Medium,LinkedIn: barebells
Huel,https://www.huel.com,UK (HQ) — Barcelona/Spain expansion potential,Nutrition / Meal Replacement,"1,000+ (growing globally)",UK-based complete nutrition brand. $150M+ revenue. Available in 10+ countries. Strong in personalized nutrition. Plant-based and functional foods trend aligns with Barcelona's health-conscious market. Southern European expansion logical next step.,Medium,"LinkedIn: huel, info@huel.com"
Nutrisport (Zelnova Zeltia),https://www.nutrisport.es,Spain (HQ),Sports Nutrition / Spanish Market Leader,Major Spanish player,Top 5 company in Spain's sports nutrition market. NutrisportZero line — desserts and ready-to-drink formats appealing to mainstream consumers. Strong innovation pipeline. Spanish market growing 7.13% CAGR to €405M by 2032. Barcelona as commercial and marketing office for national expansion.,Medium-High,"LinkedIn: nutrisport, info@nutrisport.es"
